action_date,fiscal_year,awarding_agency,transactions,obligations
2015-10-01,2016,Agency for International Development,6,1206959.00
2015-10-01,2016,Department of State,43,61207774.00
2015-10-02,2016,Agency for International Development,3,12570000.00
2015-10-02,2016,Department of State,1,548505.00
2015-10-05,2016,Agency for International Development,1,0.00
2015-10-06,2016,Agency for International Development,15,8004245.00
2015-10-07,2016,Agency for International Development,7,1452431.00
2015-10-08,2016,Agency for International Development,5,10983535.00
2015-10-09,2016,Agency for International Development,16,-360807.00
2015-10-12,2016,Agency for International Development,1,0.00
2015-10-13,2016,Agency for International Development,4,0.00
2015-10-14,2016,Agency for International Development,11,6408801.00
2015-10-15,2016,Agency for International Development,14,692116.00
2015-10-16,2016,Agency for International Development,4,618459.00
2015-10-19,2016,Agency for International Development,13,13466732.00
2015-10-19,2016,Department of State,1,2151242.00
2015-10-20,2016,Agency for International Development,7,7037235.00
2015-10-20,2016,Department of State,3,7917301.00
2015-10-21,2016,Agency for International Development,17,17307737.00
2015-10-21,2016,Department of State,1,1195880.00
2015-10-22,2016,Agency for International Development,14,36307674.00
2015-10-23,2016,Agency for International Development,6,4740645.00
2015-10-23,2016,Department of State,2,3819428.00
2015-10-25,2016,Department of State,1,38049.00
2015-10-26,2016,Agency for International Development,11,5809220.00
2015-10-26,2016,Department of State,1,3455884.00
2015-10-27,2016,Agency for International Development,9,2649400.00
2015-10-27,2016,Department of State,2,2879745.00
2015-10-28,2016,Agency for International Development,13,18061231.00
2015-10-29,2016,Agency for International Development,15,14522484.00
2015-10-29,2016,Department of State,2,4032624.00
2015-10-30,2016,Agency for International Development,15,4821088.00
2015-10-30,2016,Department of State,5,2885508.00
2015-10-31,2016,Agency for International Development,6,600000.00
2015-11-01,2016,Agency for International Development,3,491968.00
2015-11-02,2016,Agency for International Development,13,14010651.00
2015-11-02,2016,Department of State,6,8729671.00
2015-11-03,2016,Agency for International Development,20,44683308.00
2015-11-03,2016,Department of State,2,7939447.00
2015-11-04,2016,Agency for International Development,11,8524075.00
2015-11-04,2016,Department of State,1,52847.00
2015-11-05,2016,Agency for International Development,12,11273077.00
2015-11-05,2016,Department of State,2,1600598.00
2015-11-06,2016,Agency for International Development,11,26537216.00
2015-11-06,2016,Department of State,1,469156.00
2015-11-08,2016,Agency for International Development,1,-412900.00
2015-11-09,2016,Agency for International Development,9,13006864.00
2015-11-09,2016,Department of State,2,115000.00
2015-11-10,2016,Agency for International Development,14,24624708.00
2015-11-10,2016,Department of State,2,1924051.00
2015-11-11,2016,Department of State,1,25000.00
2015-11-12,2016,Agency for International Development,12,8236371.00
2015-11-12,2016,Department of State,1,120000.00
2015-11-13,2016,Agency for International Development,6,36475117.00
2015-11-13,2016,Department of State,1,93350.00
2015-11-16,2016,Agency for International Development,15,31505494.00
2015-11-16,2016,Department of State,1,42067.00
2015-11-17,2016,Agency for International Development,21,10734501.00
2015-11-17,2016,Department of State,2,4954900.00
2015-11-18,2016,Agency for International Development,15,18348502.00
2015-11-18,2016,Department of State,1,150000.00
2015-11-19,2016,Agency for International Development,11,14925730.00
2015-11-19,2016,Department of State,4,6621604.00
2015-11-20,2016,Agency for International Development,9,1880667.00
2015-11-20,2016,Department of State,3,1967524.00
2015-11-23,2016,Agency for International Development,16,35926657.00
2015-11-24,2016,Agency for International Development,26,27758594.00
2015-11-24,2016,Department of State,2,214727.00
2015-11-25,2016,Agency for International Development,17,18125404.00
2015-11-25,2016,Department of State,3,2890367.00
2015-11-26,2016,Agency for International Development,2,4063660.00
2015-11-27,2016,Agency for International Development,8,6347887.00
2015-11-27,2016,Department of State,2,1354244.00
2015-11-30,2016,Agency for International Development,12,24391783.00
2015-11-30,2016,Department of State,5,8419638.00
2015-12-01,2016,Agency for International Development,12,20792389.00
2015-12-01,2016,Department of State,3,14675281.00
2015-12-02,2016,Agency for International Development,13,12255671.00
2015-12-02,2016,Department of State,5,3192289.00
2015-12-03,2016,Agency for International Development,17,-7608699.00
2015-12-03,2016,Department of State,4,4638756.00
2015-12-04,2016,Agency for International Development,17,14473251.00
2015-12-04,2016,Department of State,4,5797448.00
